Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,comment,,
-3.2267,-75.49515,C6_R_0_3,,C,6,0,0.3,0.67,,C6_R_0_3,-46.08,0.05,-366.4,0.89,,,
-3.2267,-75.49515,C6_R_0_6,,C,6,0,0.67,1,,C6_R_0_6NN,-42.71,0.06,-338.6,0.09,,,
-3.2267,-75.49515,C6_R_1_0,,C,6,10,0,0.33,,C6_R_1_0N,-44.15,0.07,-346.7,0.67,,,
-3.2267,-75.49515,C6_R_1_3,,C,6,10,0.3,0.67,,C6_R_1_3,-45.37,0.06,-358.1,0.41,,,
-3.2267,-75.49515,C6_R_1_6,,C,6,10,0.67,1,,C6_R_1_6N,-47.05,0.07,-371.1,0.56,,,
-3.2267,-75.49515,C6_R_2_0,,C,6,20,0,0.33,,C6_R_2_0N,-42.23,0.06,-333.0,0.47,,,
-3.2267,-75.49515,C6_R_2_3,,C,6,20,0.3,0.67,,C6_R_2_3N,-45.31,0.07,-358.7,0.34,,,
-3.2267,-75.49515,C6_R_2_6,,C,6,20,0.67,1,,C6_R_2_6N,-46.21,0.04,-362.2,0.31,,,
-3.2267,-75.49515,C6_R_3_0,,C,6,30,0,0.33,,C6_R_3_0,-42.98,0.08,-337.3,0.49,,,
-3.2267,-75.49515,C6_R_3_3,,C,6,30,0.3,0.67,,C6_R_3_3N,-45.08,0.04,-357.0,0.46,,,
-3.2267,-75.49515,C6_R_3_6,,C,6,30,0.67,1,,C6_R_3_6,-45.85,0.08,-361.6,0.33,,,
